,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude
9693,Scotland Dam,551,CT,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-72.1221,41.6651&level=14",-72.1221,41.6651
9694,Scotland Solar RES,59982,IN,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-86.9473,38.9099&level=14",-86.9473,38.9099
9695,Scott Flat,839,CA,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-120.932508,39.272108&level=14",-120.932508,39.272108
9696,Scott Solar Farm,60316,VA,Electric Utility,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-77.934,37.523&level=14",-77.934,37.523
9697,Scott-II Solar LLC,60968,VA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-77.944637,37.526244&level=14",-77.944637,37.526244
9698,Scottsburg Solar Park,62766,IN,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-85.785544,38.661999&level=14",-85.785544,38.661999
9699,Screwbean,65835,TX,IPP Non-CHP,BA,MWH,Batteries,,,,Other,"map/?center=-104.045071,31.821423&level=14",-104.045071,31.821423
9700,Scribner Diesel Generation Facility,64420,NE,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-96.669132,41.668419&level=14",-96.669132,41.668419
9701,Scrubgrass Reclamation CO. LP.,50974,PA,IPP Non-CHP,ST,WC,Conventional Steam Coal,,,,Coal,"map/?center=-79.8134,41.2691&level=14",-79.8134,41.2691
9702,Scurry County Wind II,56775,TX,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-100.793333,32.718056&level=14",-100.793333,32.718056
