,Unnamed: 0,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude,GEOID,STATE,COUNTY,TRACT
3045,3045,Dennis Landfill,59082,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-70.145,41.693056&level=14",-70.145,41.693056,25001011500,25.0,1.0,11500.0
3046,3046,Dennison,58787,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.323611,40.763056&level=14",-73.323611,40.763056,36103122706,36.0,103.0,122706.0
3047,3047,Denton Energy Center,61643,TX,Electric Utility,IC,NG,Natural Gas Internal Combustion Engine,,,,Natural Gas,"map/?center=-97.209692,33.214869&level=14",-97.209692,33.214869,48121020800,48.0,121.0,20800.0
3048,3048,Denver Braswell PV,61441,GA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-83.8,31.3&level=14",-83.8,31.3,13071970101,13.0,71.0,970101.0
3049,3049,Denver Int Airport,56815,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-104.697149,39.836789&level=14",-104.697149,39.836789,08031980001,8.0,31.0,980001.0
3050,3050,Denver Intl Airport IV Solar,59462,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-104.673935,39.902697&level=14",-104.673935,39.902697,08031980001,8.0,31.0,980001.0
3051,3051,Denver Metro Solar,61563,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-104.621139,39.759298&level=14",-104.621139,39.759298,08001008354,8.0,1.0,8354.0
3052,3052,Department of Justice,64517,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-121.44855,38.548056&level=14",-121.44855,38.548056,06067001702,6.0,67.0,1702.0
3053,3053,Depot Hill Solar CSG,60852,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.988,42.153&level=14",-71.988,42.153,25027756101,25.0,27.0,756101.0
3054,3054,Depot Park Solar System,58119,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-121.398333,38.515&level=14",-121.398333,38.515,06067009201,6.0,67.0,9201.0
3055,3055,"Depot Solar Center, LLC",61691,VA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-79.116506,37.276278&level=14",-79.116506,37.276278,51031020101,51.0,31.0,20101.0
3056,3056,Dept of Corrections NCCI Wind,58992,MA,Commercial Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-71.944722,42.572222&level=14",-71.944722,42.572222,25027707500,25.0,27.0,707500.0
3057,3057,Dept of General Services -FTB,60861,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-121.343,38.565&level=14",-121.343,38.565,06067009107,6.0,67.0,9107.0
3058,3058,Derby Fuel Cell,62588,CT,IPP Non-CHP,--,--,--,,,,Other,"map/?center=-73.099167,41.325&level=14",-73.099167,41.325,09009120200,9.0,9.0,120200.0
3059,3059,Derby Hydro,10063,CT,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-73.102111,41.324308&level=14",-73.102111,41.324308,09001110602,9.0,1.0,110602.0
3060,3060,Dermott Wind,60902,TX,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-100.975128,32.863769&level=14",-100.975128,32.863769,48415950100,48.0,415.0,950100.0
3061,3061,Des Moines Wastewater Reclamation Fac,50932,IA,Commercial CHP,IC,OBG,Other Waste Biomass,,,,Renewable Energy Sources,"map/?center=-93.557743,41.573415&level=14",-93.557743,41.573415,19153005300,19.0,153.0,5300.0
3062,3062,Desert Basin,55129,AZ,Electric Utility,"CA, CT, GT",NG,Multiple,677,--,677,Other,"map/?center=-111.7889,32.9042&level=14",-111.7889,32.9042,04021001307,4.0,21.0,1307.0
3063,3063,Desert Green Solar Farm LLC,57959,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-116.34805,33.27055&level=14",-116.34805,33.27055,06073021002,6.0,73.0,21002.0
3064,3064,Desert Harvest II LLC,64103,CA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-115.38,33.8&level=14",-115.38,33.8,06065046900,6.0,65.0,46900.0
3065,3065,"Desert Harvest, LLC",62177,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-115.38,33.8&level=14",-115.38,33.8,06065046900,6.0,65.0,46900.0
3066,3066,Desert Hot Springs Solar,58514,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-116.53,33.923056&level=14",-116.53,33.923056,06065044524,6.0,65.0,44524.0
3067,3067,Desert Meadow Windfarm,57430,ID,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-115.452025,43.056622&level=14",-115.452025,43.056622,16039960100,16.0,39.0,960100.0
3068,3068,Desert Peak Energy Storage I,65987,CA,IPP Non-CHP,BA,MWH,Batteries,,,,Other,"map/?center=-116.5719,33.9311&level=14",-116.5719,33.9311,06065044524,6.0,65.0,44524.0
3069,3069,Desert Peak Energy Storage II,65988,CA,IPP Non-CHP,BA,MWH,Batteries,,,,Other,"map/?center=-116.5719,33.9311&level=14",-116.5719,33.9311,06065044524,6.0,65.0,44524.0
3070,3070,Desert Peak Power Plant,10018,NV,IPP Non-CHP,BT,GEO,Geothermal,,,,Renewable Energy Sources,"map/?center=-118.953497,39.753999&level=14",-118.953497,39.753999,32001950600,32.0,1.0,950600.0
3071,3071,Desert Sky,55992,TX,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-102.0867,30.9178&level=14",-102.0867,30.9178,48371950100,48.0,371.0,950100.0
3072,3072,Desert Star Energy Center,55077,NV,Electric Utility,"CA, CT",NG,Natural Gas Fired Combined Cycle,--,--,--,Natural Gas,"map/?center=-114.994167,35.788889&level=14",-114.994167,35.788889,32003005703,32.0,3.0,5703.0
3073,3073,Desert Star Hybrid,59444,AZ,Electric Utility,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-112.66,33.145&level=14",-112.66,33.145,04013723306,4.0,13.0,723306.0
3074,3074,"Desert Sunlight 250, LLC",58542,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-115.3947,33.8055&level=14",-115.3947,33.8055,06065046900,6.0,65.0,46900.0
3075,3075,"Desert Sunlight 300, LLC",57993,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-115.393889,33.823056&level=14",-115.393889,33.823056,06065046900,6.0,65.0,46900.0
3076,3076,Desert View Power,10300,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,,,,Renewable Energy Sources,"map/?center=-116.0873,33.586&level=14",-116.0873,33.586,06065045610,6.0,65.0,45610.0
3077,3077,"Desert Wind Farm, LLC",59968,NC,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-76.42,36.31&level=14",-76.42,36.31,37143920101,37.0,143.0,920101.0
3078,3078,Deshler,2234,NE,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-97.7239,40.1408&level=14",-97.7239,40.1408,31169963100,31.0,169.0,963100.0
3079,3079,Desper Solar,62730,VA,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-78.043131,38.015735&level=14",-78.043131,38.015735,51109950201,51.0,109.0,950201.0
3080,3080,Dessie Solar Center LLC,58952,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-78.835833,34.302778&level=14",-78.835833,34.302778,37047930700,37.0,47.0,930700.0
3081,3081,Detour,6369,MI,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-83.90788,45.98363&level=14",-83.90788,45.98363,26033971100,26.0,33.0,971100.0
3082,3082,Detroit,3077,OR,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-122.2511,44.7224&level=14",-122.2511,44.7224,41047010600,41.0,47.0,10600.0
3083,3083,Detroit Lakes,1970,MN,Electric Utility,GT,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-95.843333,46.8175&level=14",-95.843333,46.8175,27005450500,27.0,5.0,450500.0
3084,3084,Deuel Harvest Wind Energy LLC,62943,SD,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-96.534631,44.863583&level=14",-96.534631,44.863583,46039953600,46.0,39.0,953600.0
3085,3085,Devens,59358,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.625875,42.559173&level=14",-71.625875,42.559173,25017388200,25.0,17.0,388200.0
3086,3086,Devil Canyon,436,CA,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-117.3344,34.2056&level=14",-117.3344,34.2056,06071004512,6.0,71.0,4512.0
3087,3087,Devon Station,544,CT,IPP Non-CHP,GT,KER,Petroleum Liquids,,,,Petroleum,"map/?center=-73.108976,41.209797&level=14",-73.108976,41.209797,09009150600,9.0,9.0,150600.0
3088,3088,Deweys Mill,10137,VT,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-72.4061,43.6411&level=14",-72.4061,43.6411,50027965501,50.0,27.0,965501.0
