error,lat,lng,POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
400 Client Error:  for url: https://geocoding.geo.census.gov/geocoder/geographies/coordinates?x=Longitude+of+award%2Fproject+place+of+performance.&y=Latitude+of+award%2Fproject+place+of+performance.&benchmark=Public_AR_Census2020&vintage=Census2020_Census2020&format=json,Latitude of award/project place of performance.,Longitude of award/project place of performance.,,,,,,,,,,,,,,,,,,,,
,,,623.0,6037980035.0,34.0124049,329041.0,6.0,9800.35,2079015902976627.0,CT,S,34.0105697,Census Tract 9800.35,5661.0,980035.0,-117.9433705,167.0,15616700.0,-117.9354578,G5020,U,37.0
,,,2172.0,8101003500.0,38.2659151,337903.0,8.0,35.0,207903717093090.0,CT,S,38.2663099,Census Tract 35,76480.0,3500.0,-104.6083167,1249.0,4992735.0,-104.6083782,G5020,U,101.0
,,,1825.0,38005940200.0,47.9253465,28365320.0,38.0,9402.0,20790512405890.0,CT,S,47.9268862,Census Tract 9402,26947.0,940200.0,-98.7652598,683.0,436764468.0,-98.7589395,G5020,R,5.0
,,,1944.0,29143960500.0,36.4900983,2906167.0,29.0,9605.0,20790300317525.0,CT,S,36.4871669,Census Tract 9605,31040.0,960500.0,-89.8471645,949.0,480482378.0,-89.8521238,G5020,R,143.0
,,,4934.0,13051011700.0,32.0802648,240696.0,13.0,117.0,2079015488857315.0,CT,S,32.0800675,Census Tract 117,26048.0,11700.0,-81.0969487,1964.0,2302557.0,-81.0967829,G5020,U,51.0
,,,5560.0,21111012604.0,38.1853589,23222.0,21.0,126.04,20790112190353.0,CT,S,38.1861397,Census Tract 126.04,22532.0,12604.0,-85.8380152,2310.0,3960262.0,-85.8387802,G5020,U,111.0
,,,2397.0,41013950402.0,44.0466651,15998089.0,41.0,9504.02,2079015504358514.0,CT,S,44.0420698,Census Tract 9504.02,14038.0,950402.0,-120.2177001,1313.0,5374376224.0,-120.2163272,G5020,R,13.0
,,,5119.0,36117020900.0,43.1968094,246311.0,36.0,209.0,20790108826373.0,CT,S,43.1966071,Census Tract 209,22575.0,20900.0,-77.056883,2340.0,105844290.0,-77.0535519,G5020,R,117.0
,,,4062.0,28099940100.0,32.7918188,147638.0,28.0,9401.0,2079084232167.0,CT,S,32.7880705,Census Tract 9401,49152.0,940100.0,-89.2475609,1164.0,105020176.0,-89.2456666,G5020,M,99.0
,,,2055.0,35057963700.0,34.5413129,673409.0,35.0,9637.0,207903717357042.0,CT,S,34.4898709,Census Tract 9637,826.0,963700.0,-105.7679251,1150.0,5509124814.0,-105.7622089,G5020,R,57.0
