POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
6712,48201554407,+29.9837758,104468,48,5544.07,2079015701732714,CT,S,+29.9887021,Census Tract 5544.07,54476,554407,-095.6870155,2222,6454298,-095.6857695,G5020,U,201
7084,48201342900,+29.6717497,1097,48,3429,20790326049510,CT,S,+29.6716312,Census Tract 3429,59811,342900,-095.1052453,2681,5944626,-095.1049703,G5020,U,201
4596,48215021903,+26.1849991,0,48,219.03,207903718077912,CT,S,+26.1849991,Census Tract 219.03,83299,021903,-098.1077736,1648,4622191,-098.1077736,G5020,U,215
4468,48085030541,+33.1534535,0,48,305.41,2079019626997653,CT,S,+33.1534535,Census Tract 305.41,3424,030541,-096.6890244,1573,1704379,-096.6890244,G5020,U,085
5007,48201252700,+29.9156626,380256,48,2527,20790326060931,CT,S,+29.9167216,Census Tract 2527,59513,252700,-095.0272065,1919,47009945,-095.0200269,G5020,M,201
10035,48201554902,+30.0977881,47091,48,5549.02,207903717156316,CT,S,+30.0975632,Census Tract 5549.02,63571,554902,-095.5199919,3898,12720652,-095.5205480,G5020,U,201
5282,48167723200,+29.3720479,176369,48,7232,20790306085626,CT,S,+29.3727169,Census Tract 7232,81115,723200,-095.0248482,2071,20606246,-095.0232028,G5020,M,167
8990,48085030524,+33.2111251,17279,48,305.24,207903717231055,CT,S,+33.2110611,Census Tract 305.24,79007,030524,-096.7502948,2862,5383825,-096.7497408,G5020,U,085
4975,48439101202,+32.7653094,25964,48,1012.02,207901921450622,CT,S,+32.7677796,Census Tract 1012.02,60008,101202,-097.2972321,1724,5470898,-097.2931153,G5020,U,439
6768,48439114106,+32.9049118,41519,48,1141.06,2079015692365996,CT,S,+32.9005861,Census Tract 1141.06,64697,114106,-097.4272826,2217,22039274,-097.4165212,G5020,M,439
3430,48441013300,+32.4909409,399234,48,133,20790710090671,CT,S,+32.4922967,Census Tract 133,41945,013300,-099.6799103,1598,67993501,-099.6817920,G5020,M,441
5216,48135002503,+31.9062471,132430,48,25.03,20790475287902,CT,S,+31.9053898,Census Tract 25.03,76844,002503,-102.3399109,2943,9868346,-102.3410542,G5020,M,135
