,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude
8,"Pioneer Solar (CO), LLC",61991,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-104.45903,39.761569&level=14",-104.45903,39.761569
9,Pioneer Trail Solar Energy Center,61767,FL,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-81.1,29.08&level=14",-81.1,29.08
0,"Pioneer Trail Wind Farm, LLC",57675,IL,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-88.021517,40.46405&level=14",-88.021517,40.46405
1,"Pioneer Wind Park, LLC",60259,WY,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-105.866765,42.728198&level=14",-105.866765,42.728198
2,Pipestone City Solar LLC CSG,63726,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-96.317514,44.015972&level=14",-96.317514,44.015972
3,Piqua Power Plant,2937,OH,Electric Utility,GT,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-84.237258,40.133848&level=14",-84.237258,40.133848
4,Pirkey,7902,TX,Electric Utility,--,--,--,,,,Other,"map/?center=-94.4852,32.4607&level=14",-94.4852,32.4607
5,Pisgah Mountain Wind,60404,ME,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-68.523419,44.777337&level=14",-68.523419,44.777337
6,"Pisgah Ridge Solar, LLC",65631,TX,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-96.467327,31.896737&level=14",-96.467327,31.896737
7,Pit 1,265,CA,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-121.498243,40.99084&level=14",-121.498243,40.99084
8,Pit 3,266,CA,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-121.748139,40.997448&level=14",-121.748139,40.997448
9,Pit 4,267,CA,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-121.84944,40.986361&level=14",-121.84944,40.986361
